path,columns,role,sha256
fetch/data/revised-24m/query0a_data_quality.csv,"[""metric"", ""value""]",analysis_input,8fcdf1089297acd125cd42bef0e106b2c63579ac7ff2fdd9b714a6e3b15d0d84
fetch/data/revised-24m/query0b_router_check.csv,"[""rank_basis"", ""taker"", ""victim_trades"", ""total_volume_usd"", ""avg_trade_usd"", ""max_trade_usd"", ""trades_ge_10k"", ""protocols_touched"", ""distinct_senders"", ""first_seen"", ""last_seen""]",context_available_not_automatically_pooled,adcd505799fa61cf7c2c3c537eff5d41da3424ea1772a88fbe7ed4423ee6541c
fetch/data/revised-24m/query1_mev_volume_v2.csv,"[""date"", ""sandwich_trade_count"", ""priced_trade_count"", ""total_sandwich_volume_usd"", ""unique_sandwich_bots"", ""unique_transactions""]",context_available_not_automatically_pooled,37d7acd2741fa2e2267a50f232316b30c1b35d91c521857e24d6d60ba8bcf3e9
fetch/data/revised-24m/query3_full_bot_distribution_v2.csv,"[""bot_address"", ""total_trades"", ""priced_trades"", ""total_volume_usd""]",context_available_not_automatically_pooled,ceb26c05d5447eb9082e9510d505589cc39c92e47615d7ba61894619a0463aff
fetch/data/revised-24m/query4_top_bots_v2.csv,"[""bot_address"", ""total_sandwich_trades"", ""priced_trades"", ""total_volume_usd"", ""days_active"", ""first_seen"", ""last_seen"", ""avg_trade_size_usd""]",context_available_not_automatically_pooled,031effa8dc1f03661440e517e9c4dc7c39899d539f3f0aaf8dcc238d5e8aae2b
fetch/data/revised-24m/query5a_break_points_v2.csv,"[""p25"", ""p50_median"", ""p75"", ""p90"", ""p95"", ""min_value"", ""max_value"", ""mean_value"", ""total_victim_trades"", ""unique_victim_addresses""]",context_available_not_automatically_pooled,67b371773e43fc7e9b79ff4810a0009ddd3f981ff7ba40240bc2be39a6d8a4b5
fetch/data/revised-24m/query5b_victim_impact_v2.csv,"[""victim_tier"", ""victim_trades"", ""addresses_with_trade_in_tier"", ""total_volume"", ""avg_tx_size"", ""min_tx"", ""max_tx"", ""pct_of_trades"", ""pct_of_volume"", ""cutoff_p50"", ""cutoff_p90""]",analysis_input,5d082590456940ccd4c1e00da2db0b719cbad8cfdbcecbf28ea49b62534a476e
fetch/data/revised-24m/query5c_repeat_victimization_v2.csv,"[""victim_tier"", ""is_known_bot"", ""unique_eoas"", ""attack_events"", ""attacks_per_eoa"", ""max_attacks_single_eoa"", ""median_attacks_per_eoa"", ""tier_volume_usd"", ""avg_median_trade_usd"", ""cutoff_p50"", ""cutoff_p90""]",context_available_not_automatically_pooled,ea62647e478108147aede73cf69c16460f435f15ecc37b119ad842235af68c35
fetch/data/revised-24m/query5d_trade_size_distribution.csv,"[""victim_tier"", ""pctile_in_tier"", ""trades_in_bin"", ""lower_edge_usd"", ""upper_edge_usd"", ""mean_usd"", ""volume_usd"", ""cutoff_p50"", ""cutoff_p90""]",context_available_not_automatically_pooled,9b77507c2fb89b14acd16de3375e72daeb9b0f246e94ea607ddddaa2a6d51c03
fetch/data/revised-24m/query5e_eligible_trade_attack_rates_v2.csv,"[""month"", ""project"", ""version"", ""trade_size_bin"", ""candidate_trade_events"", ""attacked_trade_events"", ""unattacked_trade_events"", ""candidate_volume_usd"", ""attacked_volume_usd"", ""avg_trade_size_usd"", ""min_trade_size_usd"", ""max_trade_size_usd"", ""attack_rate_pct""]",analysis_input,950e36fc00e3c6eeed5a999de9f0319e063472ee87d42517219065abefb98e50
fetch/data/revised-24m/query_protocol_vulnerability_v2.csv,"[""project"", ""victim_trade_count"", ""total_volume_usd"", ""avg_trade_size"", ""unique_takers_in_protocol"", ""unique_eoas_in_protocol""]",context_available_not_automatically_pooled,d8f2adf340e0ab56be168d33833695bec132f42003f8096aa880d6c418fc26cb
fetch/data/revised-30m/query0a_data_quality.csv,"[""metric"", ""value""]",analysis_input,b8e69e3aac40189156c5938b1ad0041db4f1ef8130bf8bc666fd0f7d40a137e4
fetch/data/revised-30m/query0b_router_check.csv,"[""rank_basis"", ""taker"", ""victim_trades"", ""total_volume_usd"", ""avg_trade_usd"", ""max_trade_usd"", ""trades_ge_10k"", ""protocols_touched"", ""distinct_senders"", ""first_seen"", ""last_seen""]",context_available_not_automatically_pooled,b1abca98f464affe0051b451eeaf9c1336672057b9565678be8828c684b74828
fetch/data/revised-30m/query1_mev_volume_v2.csv,"[""date"", ""sandwich_trade_count"", ""priced_trade_count"", ""total_sandwich_volume_usd"", ""unique_sandwich_bots"", ""unique_transactions""]",context_available_not_automatically_pooled,59894a355dd8b7a692d3a2381bbf460c3a3fc3ffc5c292df2056f3072f4e98d9
fetch/data/revised-30m/query3_full_bot_distribution_v2.csv,"[""bot_address"", ""total_trades"", ""priced_trades"", ""total_volume_usd""]",context_available_not_automatically_pooled,fb8cc2f114d370f9a7027553397ecda23ca940757fda909646455c65d45c9d3c
fetch/data/revised-30m/query4_top_bots_v2.csv,"[""bot_address"", ""total_sandwich_trades"", ""priced_trades"", ""total_volume_usd"", ""days_active"", ""first_seen"", ""last_seen"", ""avg_trade_size_usd""]",context_available_not_automatically_pooled,7f3142391bef9f848ffd5c9972c3a4e0c656a85d3c0d4e5c143444de14c1abef
fetch/data/revised-30m/query5a_break_points_v2.csv,"[""p25"", ""p50_median"", ""p75"", ""p90"", ""p95"", ""min_value"", ""max_value"", ""mean_value"", ""total_victim_trades"", ""unique_victim_addresses""]",context_available_not_automatically_pooled,938028e83386c207f15b45eff2a4b7c43246c6a7d59f0f8ec85ddd89afd088cd
fetch/data/revised-30m/query5b_victim_impact_v2.csv,"[""victim_tier"", ""victim_trades"", ""addresses_with_trade_in_tier"", ""total_volume"", ""avg_tx_size"", ""min_tx"", ""max_tx"", ""pct_of_trades"", ""pct_of_volume"", ""cutoff_p50"", ""cutoff_p90""]",context_available_not_automatically_pooled,13b4826bdce664bc577959f9ab829d6cc09e7732c211bce1ae5cc3c9655bdcf4
fetch/data/revised-30m/query5c_repeat_victimization_v2.csv,"[""victim_tier"", ""is_known_bot"", ""unique_eoas"", ""attack_events"", ""attacks_per_eoa"", ""max_attacks_single_eoa"", ""median_attacks_per_eoa"", ""tier_volume_usd"", ""avg_median_trade_usd"", ""cutoff_p50"", ""cutoff_p90""]",context_available_not_automatically_pooled,54e57ce6009adac08a72af0223bfa65d6337a46dde8892937f478a8cce3d9787
fetch/data/revised-30m/query5d_trade_size_distribution.csv,"[""victim_tier"", ""pctile_in_tier"", ""trades_in_bin"", ""lower_edge_usd"", ""upper_edge_usd"", ""mean_usd"", ""volume_usd"", ""cutoff_p50"", ""cutoff_p90""]",context_available_not_automatically_pooled,b777fab4ed7e537d25902adce5ea7d04a1fed2c45b90a922a64c53770d5f334e
fetch/data/revised-30m/query5e_eligible_trade_attack_rates_v2.csv,"[""month"", ""project"", ""version"", ""trade_size_bin"", ""candidate_trade_events"", ""attacked_trade_events"", ""unattacked_trade_events"", ""candidate_volume_usd"", ""attacked_volume_usd"", ""avg_trade_size_usd"", ""min_trade_size_usd"", ""max_trade_size_usd"", ""attack_rate_pct""]",analysis_input,bb17010c938bded364ef942c37c829d89187b0cd5757a8237ffbd13f41ee639d
fetch/data/revised-30m/query_protocol_vulnerability_v2.csv,"[""project"", ""victim_trade_count"", ""total_volume_usd"", ""avg_trade_size"", ""unique_takers_in_protocol"", ""unique_eoas_in_protocol""]",context_available_not_automatically_pooled,f48b5472052e6e250c62bb402ef07d80535d6b48ffabe81d954328b3f07162e1
fetch/query1_mev_volume.csv,"[""date"", ""sandwich_trade_count"", ""total_sandwich_volume_usd"", ""unique_sandwich_bots"", ""unique_transactions""]",legacy_not_pooled,b733e097b32428e02ce74565c88cc1a689631b451ec934228d9a5f9f9921f32b
fetch/query3_full_bot_distribution.csv,"[""bot_address"", ""total_volume_usd""]",legacy_not_pooled,46f42ca7f14d2b383a9ece00bdd93c35ec53f223bc220c1af85ee03523d19d77
fetch/query4_top_bots.csv,"[""avg_trade_size_usd"", ""bot_address"", ""days_active"", ""first_seen"", ""last_seen"", ""total_sandwich_trades"", ""total_volume_usd""]",legacy_not_pooled,d17cad4bc332f9f6db8ae8ea78fc1426fa97c8a6190b537614053733a704ec50
fetch/query5a_break_points.csv,"[""max_value"", ""mean_value"", ""min_value"", ""p25"", ""p50_median"", ""p75"", ""p90"", ""p95"", ""total_victims""]",legacy_not_pooled,a5b02cf06ee151712756683c757d46548c501b684b4bb6eba288e292028d987c
fetch/query5b_victim_impact.csv,"[""avg_tx_size"", ""max_tx"", ""min_tx"", ""pct_of_victims"", ""pct_of_volume"", ""total_volume"", ""unique_victims"", ""victim_count"", ""victim_tier""]",legacy_not_pooled,4cdc20595f595c63d013d10e6c68fce35ba89780b5166f2074e3a96e38d3ac29
fetch/query_protocol_vulnerability.csv,"[""avg_trade_size"", ""project"", ""sandwich_count"", ""total_volume_usd"", ""unique_victims""]",legacy_not_pooled,507dc7d0d7f8b666d7d4cc4851bb11a218b8ee6f06024778604ae7728d8a622b
